BS_Code;Title;Author;Series_Title;Copyright_Year;Puplisher;Copies;Price
QA10001;Control in Power Electronics: Selected Problems;Marian P. Kazmierkowski, Ramu Krishnan, Frede Blaabjerg, J. D. Irwin;Academic Press Series in Engineering;2003;Academic Press;17;360
QA10002;Control in Robotics and Automation;Bijoy K. Ghosh, T. J. Tarn, Ning Xi;Academic Press Series in Engineering;1999;Academic Press;18;191
QA10003;DSP Integrated Circuits;Lars Wanhammar;Academic Press Series in Engineering;1999;Academic Press;9;39
QA10004;Industrial Controls and Manufacturing;Edward W. Kamen;Academic Press Series in Engineering;1999;Academic Press;29;443
QA10005;Interlayer Dielectrics for Semiconductor Technologies;Shyam P Muraka, Moshe Eizenberg, Ashok K Sinha;Academic Press Series in Engineering;2003;Academic Press;15;61
QA10006;Mechanical Engineer's Handbook;Dan B. Marghitu, J. David Irwin;Academic Press Series in Engineering;2001;Academic Press;24;421
QA10007;Single and Multi-Chip Microcontroller Interfacing;G. Jack Lipovski, Jack. G Lipovski;Academic Press Series in Engineering;1999;Academic Press;14;37
QA10008;Soft Computing and Intelligent Systems;Naresh Sinha, Madan Gupta;Academic Press Series in Engineering;2000;Academic Press;8;116
QA10009;Time Domain Electromagnetics;Sadasiva M. Rao;Academic Press Series in Engineering;1999;Academic Press;10;122
QA10010;Pressure Vessel Design: The Direct Route;Josef Zeman;Advances in Structural Integrity;2006;Elsevier;27;84
QA10011;Acoustic Wave Sensors;D. Ballantine, Robert White, S. Martin, Antonio Ricco, E. Zellers, G. Frye, H. Wohltjen, Moises Levy, Richard Stern;Applications of Modern Acoustics;1997;Academic Press;16;89
QA10012;Fundamentals of Acoustical Oceanography;Herman Medwin, Clarence S. Clay;Applications of Modern Acoustics;1998;Academic Press;13;96
QA10013;Intelligent Vehicle Technologies;Ljubo Vlacic, M. Parent, F. Harashima;Automotive Engineering Series;2001;Butterworth-Heinemann;16;347
QA10014;Lightweight Electric/Hybrid Vehicle Design;John Fenton, Ron Hodkinson;Automotive Engineering Series;2000;Butterworth-Heinemann;8;325
QA10015;Motor Vehicle Structures;J. C. Brown, A.J. Robertson, S.T. Serpento;Automotive Engineering Series;2001;Butterworth-Heinemann;17;337
QA10016;Bioelectrical Signal Processing in Cardiac and Neurological Applications;Leif Sörnmo, Pablo Laguna;Biomedical Engineering;2005;Academic Press;10;106
QA10017;Circuits, Signals, and Systems for Bioengineers: A MATLAB-Based Introduction;John Semmlow;Biomedical Engineering;2005;Academic Press;26;249
QA10018;Clinical Engineering Handbook;Joseph Dyro;Biomedical Engineering;2004;Academic Press;22;315
QA10019;Diagnostic Ultrasound Imaging: Inside Out;Thomas Szabo;Biomedical Engineering;2004;Academic Press;14;61
QA10020;Handbook of Medical Imaging: Processing and Analysis Management;Isaac Bankman;Biomedical Engineering;2000;Academic Press;21;410
QA10021;Numerical Methods in Biomedical Engineering;Stanley Dunn, Alkis Constantinides, Prabhas Moghe;Biomedical Engineering;2006;Academic Press;13;388
QA10022;Exploratory Image Databases;Simone Santini;Communications, Networking and Multimedia;2001;Academic Press;23;183
QA10023;Handbook of Image and Video Processing;Alan Bovik;Communications, Networking and Multimedia;2005;Academic Press;28;437
QA10024;Introduction to Multimedia Systems;Bhatnagar, Gaurav;Communications, Networking and Multimedia;2004;Academic Press;14;233
QA10025;Lossless Compression Handbook;Khalid Sayood;Communications, Networking and Multimedia;2003;Academic Press;29;217
QA10026;Multimedia Communications: Directions and Innovations;Jerry D. Gibson;Communications, Networking and Multimedia;2001;Academic Press;10;100
QA10027;Nonlinear Image Processing;Giovanni Sicuranza, Sanjit Mitra;Communications, Networking and Multimedia;2001;Academic Press;29;107
QA10028;The E-Commerce Book;Steffano Korper, Juanita Ellis;Communications, Networking and Multimedia;2001;Morgan Kaufmann;21;340
QA10029;Third Generation CDMA Systems for Enhanced Data Services;Giridhar D. Mandyam, Jersey Lai, Jerry D. Gibson;Communications, Networking and Multimedia;2003;Academic Press;17;313
QA10030;Digital Signal Processing Systems: Implementation Techniques;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;11;235
QA10031;Multidimensional Systems: Signal Processing and Modeling Techniques;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;16;230
QA10032;Digital Control Systems Implementation Techniques;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;12;355
QA10033;DiscreteTime Control System Analysis and Design;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;22;316
QA10034;DiscreteTime Control System Implementation Techniques;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;25;41
QA10035;Techniques in Discrete-Time Stochastic Control Systems;Cornelius Leondes;Control and Dynamic Systems;1995;Academic Press;24;218
QA10036;Techniques in Discrete and Continuous Robust Systems;Cornelius Leondes;Control and Dynamic Systems;1996;Academic Press;12;76
QA10037;Computer Techniques and Algorithms in Digital Signal Processing;Cornelius Leondes;Control and Dynamic Systems;1996;Academic Press;21;372
QA10038;Stochastic Digital Control System Techniques;Cornelius Leondes;Control and Dynamic Systems;1996;Academic Press;26;73
